reporting_status,product,industry,region,strength_in_segment,profit_for_customer,sales_value,profit_perc,joint_bid_portion
Lost,F,Cap,Oth,57,1.225,6.5,64,59
Lost,L,Def,UK,51,1.469,9.9,56,58
Lost,Lo,Cli,UK,79,0.887,7,59,48
Lost,G,Fin,UK,55,1.316,8.9,34,41
Won,G,Sec,UK,32,1.01,5.7,43,63
Lost,G,Sec,Sin,73,1.267,7.9,42,56
Won,G,Air,UK,56,0.791,9.6,35,58
Lost,G,Def,Ame,50,0.82,4.6,56,44
Won,F,Ins,UK,31,0.452,9.1,51,68
Won,G,Ban,Afr,52,0.934,8,46,61
Lost,G,Def,Ame,50,1.225,7.2,51,62
Won,Li,Cap,Oth,47,0.796,10.6,48,46
Lost,Li,Con,UK,46,2.112,7.5,55,90
Lost,P,Sec,Ind,44,1.56,8.8,48,47
Won,C,Ban,UK,59,0.17,10.2,59,48
Lost,P,Sec,Ame,68,1.1,10.2,59,54
Won,G,Sec,UK,32,0.781,6.3,43,74
Lost,G,Ban,Ame,43,1.955,8.8,41,56
Won,P,Cap,UK,71,0.541,9,33,90
Won,F,Cap,Oth,57,0.712,7.5,53,90
Lost,G,Def,Jap,63,1.162,11.5,40,51
Lost,G,Fin,UK,55,1.07,8,66,54
Lost,G,Fin,UK,55,1.575,8.8,45,65
Won,F,Con,UK,54,0.391,9.3,40,54
Won,G,Oth,Ame,38,1.063,8.6,37,40
Lost,G,Ban,Afr,52,2.112,9.7,41,53
Lost,G,Cap,Oth,41,0.996,3.2,63,57
Won,L,Ban,Afr,45,0.836,9.7,30,74
Lost,G,Fin,UK,55,1.744,8.3,34,49
Lost,P,OG,Jap,33,1.738,6.9,51,66
Lost,G,Def,Ame,50,1.787,6.9,57,90
Won,G,Ban,Ame,43,0.804,8.6,45,56
Lost,P,Cap,Ame,28,1.284,8.3,63,57
Won,C,Ban,UK,59,0.792,6.5,32,62
Lost,Lo,Gov,UK,36,1.058,7.9,54,40
Won,G,Ban,Afr,52,0.493,8.7,57,59
Lost,G,Air,UK,56,1.183,9.5,65,68
Lost,G,Ban,UK,61,1.693,6,53,52
Lost,G,Oth,Ame,38,1.46,7.6,56,61
Won,F,Con,UK,54,0.454,9.4,47,59
Won,L,Def,UK,51,0.983,7.4,28,65
Lost,G,Ban,Afr,52,0.989,8.3,55,71
Won,P,Sec,Ind,44,0.451,14.2,51,56
Lost,G,Cap,UK,48,1.298,8.4,49,47
Lost,G,Def,Jap,63,1.192,8.8,47,62
Lost,G,Oth,UK,49,1.125,7.8,52,60
Won,P,Con,UK,53,0.986,5.7,39,63
Won,G,Cap,UK,48,0.845,6.1,53,62
Won,G,Ban,Ame,43,0.934,7.8,44,59
Won,Li,Con,UK,46,0.869,8.9,49,54
Lost,F,Cap,Oth,57,0.796,6.9,57,57
Lost,G,Def,Jap,63,1.283,7.3,43,74
Won,G,Air,UK,56,1.188,6.5,33,51
Won,P,Sec,Ind,44,0.805,8,40,62
Lost,G,Hea,UK,67,1.907,6.5,42,60
Won,G,Ban,Afr,52,0.745,8.3,50,61
Lost,G,Ins,UK,58,0.652,6.7,55,52
Lost,G,Ban,Ame,43,1.172,6.5,67,78
Won,Li,Cap,UK,27,1.01,11.4,57,78
Won,G,Oth,Ame,38,1.308,10.5,38,55
Lost,G,Ban,Afr,52,1.302,9.7,54,55
Lost,G,Ban,Afr,52,1.206,5.3,49,55
Lost,G,Def,Jap,63,1.672,5.3,53,56
Won,G,Air,UK,56,0.595,10.3,34,54
Won,G,Fin,UK,55,-0.088,7.9,40,75
Won,G,Oth,Ame,38,0.624,4.2,55,75
Lost,G,Ban,UK,61,1.329,10.3,63,45
Won,G,Ins,UK,58,0.446,10.8,51,68
Lost,G,Ins,UK,58,1.433,8.1,44,48
Lost,Li,Con,UK,46,1.108,7.6,68,67
Lost,L,Ban,Afr,45,1.616,6.1,52,65
Won,G,Ban,Ame,43,0.681,5.9,44,60
Lost,P,OG,Jap,33,1.734,7.5,42,66
Won,Li,Cap,Oth,47,1.427,8.9,45,100
Won,L,Def,UK,51,1.131,7.5,40,58
Lost,G,Sec,Sin,73,0.778,9.6,45,52
Lost,F,Cap,UK,60,0.881,6.6,58,52
Lost,F,Con,UK,54,1.561,6.5,46,48
Lost,L,Ban,Afr,45,0.774,8.2,64,59
Lost,P,Sec,Ind,44,1.41,6.8,45,66
Lost,G,Air,UK,56,1.144,9.2,55,61
Lost,G,Def,Ame,50,1.283,4.3,44,57
Won,G,Cap,UK,48,0.347,6.8,42,70
Lost,P,OG,Jap,33,0.948,8.9,86,64
Won,C,Ban,UK,59,0.798,6.5,42,48
Won,G,Ins,UK,58,0.464,8.3,45,40
Lost,P,Sec,Ind,44,1.247,4.7,48,56
Won,L,Ban,Afr,45,0.896,7.9,43,60
Lost,Li,Cap,Oth,47,1.474,9.2,44,57
Lost,G,Oth,UK,49,1.01,7.6,52,58
Lost,P,Con,UK,53,1.188,7.8,48,47
Won,G,Oth,Afr,39,0.406,7.6,49,100
Won,G,Def,Ame,50,0.421,6,60,68
Won,P,Sec,Ind,44,0.77,6.5,42,53
Won,Li,Cap,Oth,47,0.752,8.2,42,52
Lost,Li,Oth,Oth,64,1.077,7.6,51,59
Won,G,Oth,Oth,69,0.663,9.7,39,68
Lost,L,Def,UK,51,1.529,9.3,53,63
Lost,G,Oth,UK,49,1.214,9.5,60,46
Lost,G,Tel,Spa,66,1.088,10.3,59,56
Lost,F,Ins,UK,31,1.329,8.1,58,62
Lost,G,Oth,UK,49,1.239,9.1,43,53
Lost,F,Cap,Oth,57,1.071,4.3,49,56
Won,F,Cap,Oth,57,0.339,6.3,41,64
Lost,G,Ban,Sin,65,1.28,6.2,49,71
Lost,F,Cap,Oth,57,1.111,7.2,45,48
Won,G,Fin,UK,55,0.676,10.8,56,68
Lost,Li,Con,UK,46,0.909,6.9,58,39
Lost,G,Cap,UK,48,1.549,8,51,65
Won,G,Cap,UK,48,1.138,8.2,48,62
Won,G,Ban,Ame,43,1.225,8.4,35,59
Lost,F,Cap,UK,60,0.785,9.5,45,58
Won,P,Cli,UK,70,0.464,7.8,47,53
Won,L,Def,UK,51,0.237,7.3,54,77
Won,G,Def,Jap,63,0.007,11.7,49,70
Won,G,Cap,UK,48,0.809,8.7,52,58
Lost,F,Con,UK,54,1.478,5.1,45,53
Won,L,Ene,UK,42,0.832,8.5,48,58
Won,Li,Cap,Oth,47,0.71,3.8,42,67
Lost,G,Def,Ame,50,0.868,8.2,59,56
Won,G,Cap,Oth,41,1.169,8,40,52
Won,L,Cap,UK,40,-0.211,7.4,40,56
Lost,G,Def,Jap,63,0.609,7.1,57,54
Won,L,Def,UK,51,0.888,8.3,32,63
Lost,G,Fin,UK,55,0.951,8.3,49,60
Won,F,Cap,Oth,57,1.086,9,40,65
Lost,C,Ban,UK,59,1.225,8,51,70
Lost,Li,Oth,Oth,64,1.245,10.9,67,65
Won,G,Ban,Afr,52,1.046,6.9,47,66
Lost,G,Cap,UK,48,0.543,6.6,63,41
Won,F,Cap,Oth,57,1.028,5.9,42,68
Lost,G,Fin,UK,55,1.174,8.6,49,59
Won,G,Oth,UK,49,1.066,11.2,44,68
Won,G,Ban,Afr,52,0.537,12.3,57,51
Lost,F,Ins,UK,31,1.364,8.7,55,45
Won,L,Cap,UK,40,0.829,8.3,47,50
Won,F,Con,UK,54,0.397,8,43,39
Won,G,Air,UK,56,0.042,5.5,49,69
Won,G,Oth,Ame,38,1.116,9.1,42,49
Lost,F,Cap,Oth,57,1.43,6.1,69,74
Lost,G,Ins,UK,58,0.326,5,70,67
Lost,Li,Con,UK,46,1.517,8.6,59,58
Won,P,Con,UK,53,1.195,6.1,41,70
Lost,P,Sec,Ind,44,0.474,4.8,71,52
Won,L,Ban,Afr,45,1.18,7.5,44,48
Won,L,Ene,UK,42,-0.018,9.5,52,70
Won,L,Ban,Afr,45,0.699,8.7,37,52
Lost,G,Ban,Afr,52,1.294,8.5,48,76
Lost,G,Ban,Ame,43,1.225,10.1,56,55
Lost,G,Oth,Ame,38,1.071,8.5,78,42
Lost,G,Ban,Afr,52,2.112,12,31,48
Won,P,Inf,UK,37,-0.453,9.1,50,65
Lost,G,Cap,Oth,41,1.687,8.3,46,71
Lost,Li,Cap,Oth,47,1.581,11.3,47,70
Won,Li,Cap,Oth,47,0.23,8.7,28,57
Won,G,Ban,Ame,43,1.178,8.8,54,75
Won,G,Ban,Afr,52,0.842,7.5,51,65
Lost,P,Con,UK,53,1.025,7.6,57,68
Won,Li,Oth,Oth,64,0.201,9,57,45
Lost,L,Ban,Afr,45,1.021,9,63,40
Lost,L,Ban,Afr,45,1.835,6.3,55,54
Won,L,Cap,UK,40,0.668,9.8,49,53
Lost,P,Con,UK,53,0.991,8.6,74,64
Lost,G,Def,Jap,63,1.794,6,42,61
Lost,G,Tel,Spa,66,1.458,6.5,56,63
Won,L,Def,UK,51,0.829,12.3,54,64
Lost,G,Oth,Afr,39,0.793,5.1,64,51
Lost,G,Oth,Oth,69,0.935,9.2,46,68
Lost,G,Def,Jap,63,0.896,6.9,66,77
Lost,Lo,Mob,UK,35,1.275,8.7,48,51
Won,F,Con,UK,54,0.72,4,49,57
Lost,F,Cap,UK,60,2.484,8.4,50,50
Lost,F,Inf,UK,62,0.595,12.8,64,62
Won,Lo,Mob,UK,35,-0.001,4.7,49,69
Lost,G,Oth,UK,49,1.208,6.2,57,63
Won,G,Air,UK,56,0.263,8,39,59
Lost,Li,Con,UK,46,0.941,11.9,62,64
Lost,G,Ban,UK,61,1.241,8.2,70,53
Lost,G,Fin,UK,55,1.368,9,50,54
Lost,G,Cap,Oth,41,1.259,9.5,65,45
Lost,Li,Oth,Oth,64,0.985,7.4,45,57
Won,P,Inf,UK,37,0.865,9.1,55,63
Won,G,Oth,Afr,39,0.78,4.4,51,65
Lost,F,Inf,UK,62,0.516,8.1,71,63
Lost,G,Fin,UK,55,1.418,8.4,50,42
Won,P,Ene,UK,34,1.557,6.5,38,73
Lost,P,Sec,Ind,44,1.456,6.7,46,60
Won,G,Ban,Ame,43,0.752,6.5,48,64
Lost,P,Sec,Ame,68,0.418,8.1,55,54
Won,Li,Oth,Oth,64,0.665,7.2,52,62
Lost,L,Def,UK,51,0.578,6.7,64,37
Lost,G,Ban,Sin,65,0.868,6.5,74,62
Won,P,OG,Jap,33,1.568,6.3,41,72
Lost,L,Def,UK,51,1.575,8.8,53,56
Lost,G,Oth,UK,49,1.124,10.4,55,60
Won,L,Ban,Afr,45,0.577,4.2,62,64
Won,G,Def,Ame,50,0.848,6.1,46,43
Lost,P,Sec,Ind,44,1.263,6.6,47,50
Won,Lo,Gov,UK,36,1.047,11.6,49,66
Won,F,Cap,UK,60,-0.293,7.7,51,64
Won,F,Ins,UK,31,1.412,5.5,47,57
Won,L,Ban,Afr,45,0.929,9,36,54
Won,P,Con,UK,53,0.954,7.5,46,54
Lost,G,Oth,UK,49,1.25,6.4,63,76
Lost,G,Def,Ame,50,0.868,7.2,59,59
Won,G,Ban,Ame,43,-0.014,5.7,63,85
Won,P,Sec,Ame,68,0.572,11.2,51,60
Won,G,Ban,UK,61,0.5,8.9,51,54
Won,G,Def,Oth,30,1.265,7.5,41,58
Won,Li,Cap,Oth,47,0.638,6.1,53,55
Lost,F,Cap,Oth,57,1.245,12,50,49
Won,G,Ban,UK,61,0.884,3.7,30,53
Won,P,OG,Jap,33,1.153,4.1,52,60
Lost,L,Ban,Afr,45,1.417,7.1,49,43
Lost,Li,Cap,Oth,47,0.895,7.8,59,46
Lost,F,Cap,Oth,57,1.603,7.4,50,48
Lost,G,Ins,UK,58,2.112,6.9,58,62
Lost,Li,Con,UK,46,1.08,7.1,51,52
Won,F,Cap,UK,60,0.166,7.8,57,54
Lost,G,Air,UK,56,1.349,9.7,43,62
Won,P,OG,Jap,33,1.484,4.1,50,79
Lost,G,Fin,UK,55,0.728,9,67,53
Lost,G,Def,Ame,50,1.375,9.8,66,55
Lost,F,Cap,UK,60,0.918,5.3,56,65
Won,P,Sec,Ind,44,0.829,6.3,47,44
Lost,P,Con,UK,53,0.888,6.6,49,38
Won,G,Ban,Ame,43,0.71,8.6,61,60
Won,Li,Oth,Oth,64,0.595,5.5,43,67
Won,L,Ene,UK,42,0.724,10.3,45,65
Won,L,Cap,UK,40,1.225,6.9,47,60
Lost,G,Def,Ame,50,1.5,7.5,38,64
Lost,G,Air,UK,56,1.045,8.3,53,75
Won,P,Con,UK,53,0.538,9.3,46,68
Won,G,Cap,UK,48,1.288,6.5,48,79
Lost,G,Def,Ame,50,1.58,10.1,41,70
Lost,G,Ban,Afr,52,1.788,10.4,41,51
Won,G,Oth,Afr,39,0.577,4.6,58,62
Won,L,Ban,Afr,45,0.081,10.2,46,52
Lost,G,Oth,Afr,39,1.666,9.5,53,74
Won,F,Inf,UK,62,0.044,4.9,30,49
Won,G,Air,UK,56,-0.045,10.5,51,73
Won,G,Ban,UK,61,0.426,8.8,41,55
Won,G,Def,Jap,63,0.792,7.7,44,59
Lost,F,Inf,UK,62,1.601,6,52,69
Won,P,Inf,UK,37,1.41,10.1,50,71
Lost,P,Mob,Can,29,1.445,10.2,76,74
Lost,F,Con,UK,54,1.679,9.3,59,66
Lost,F,Inf,UK,62,1.57,6.5,47,65
Won,G,Ban,Afr,52,0.226,7.5,49,50
Lost,G,Cap,UK,48,1.42,6.5,43,61
Won,L,Def,UK,51,0.696,8.5,50,54
Won,G,Fin,UK,55,0.679,10.7,57,58
Lost,C,Ban,UK,59,1.501,6.6,54,60
Lost,G,Ban,Ame,43,1.595,11.1,50,57
Lost,G,Ins,UK,58,1.238,7.8,59,61
Won,G,Ban,Afr,52,-0.221,5.3,58,49
Lost,G,Ban,Sin,65,1.012,10,56,54
Won,Lo,Mob,UK,35,0.506,11.2,49,75
Won,F,Ins,UK,31,1.237,5.8,42,38
Won,Lo,Mob,UK,35,1.077,7,55,69
Won,Li,Cap,Oth,47,0.781,6.3,47,43
Lost,G,Air,UK,56,1.258,9.9,36,50
Lost,L,Cap,UK,40,1.579,5.5,46,56
Lost,F,Inf,UK,62,1.066,6.5,56,64
Lost,P,Con,UK,53,1.058,7.3,60,61
Won,G,Ban,Afr,52,0.4,6.6,48,57
Lost,P,Cli,UK,70,1.46,8.2,40,68
Lost,P,Cap,UK,71,1.579,10.2,41,70
Won,F,Cap,UK,60,0.128,9.2,40,48
Lost,F,Cap,UK,60,1.029,5.5,58,52
Won,L,Ban,Afr,45,0.356,4.1,40,62
Won,L,Cap,UK,40,0.427,6.9,59,61
Won,F,Con,UK,54,0.737,8,37,54
Lost,G,Ban,UK,61,0.771,6.5,70,44
Won,G,Sec,UK,32,0.452,9.4,41,72
Lost,P,Con,UK,53,1.135,8.3,56,53
Lost,G,OG,Jap,24,1.585,6.3,66,59
Won,L,Def,UK,51,0.422,9.6,49,54
Won,L,Ene,UK,42,0.453,6.6,40,56
Won,F,Con,UK,54,1.266,8.5,35,67
Won,P,Inf,UK,37,0.595,9.3,34,62
Won,F,Cap,Oth,57,0.949,9,46,68
Won,L,Ene,UK,42,0.297,8.3,40,62
Won,F,Inf,UK,62,-0.009,7.5,52,54
Won,L,Ene,UK,42,0.848,6.8,50,62
Won,G,Cap,UK,48,0.298,6.7,36,52
Won,Li,Cap,Oth,47,0.22,7.2,44,47
Won,G,Ban,Afr,52,0.645,9.2,51,49
Lost,G,Oth,UK,49,0.746,8.5,71,57
Won,C,Ban,UK,59,0.822,6.7,44,69
Won,F,Cap,UK,60,0.313,7.7,40,77
Won,G,Oth,Afr,39,1.388,8.3,34,67
Won,P,Con,UK,53,0.519,6.6,47,42
Lost,F,Cap,Oth,57,1.069,13.1,44,68
Won,G,Cap,UK,48,0.556,7,45,68
Won,G,Oth,Ame,38,1.109,8.8,47,60
Won,L,Ene,UK,42,0.548,10.8,48,48
Won,G,Ins,UK,58,0.528,8.9,57,68
Lost,L,Cap,UK,40,1.145,10,63,73
Won,G,Hea,UK,67,0.292,7.9,50,38
Lost,F,Cap,UK,60,1.431,7.7,35,66
Won,G,Ban,Afr,52,0.025,8.1,50,59
Lost,G,Oth,UK,49,1.746,11.1,69,68
Won,Lo,Mob,UK,35,1.098,10.9,55,70
Won,G,Def,Ame,50,0.623,6.9,57,65
Lost,G,Ban,Ame,43,1.412,9,64,46
Won,Li,Con,UK,46,-0.1,4.4,55,68
Lost,G,Ins,UK,58,0.507,4.4,64,66
Lost,F,Inf,UK,62,0.937,5.9,45,44
Won,P,Ene,UK,34,0.949,8.4,51,63
Lost,G,Cap,Oth,41,1.539,10.1,65,61
Won,G,Fin,UK,55,0.685,9.2,46,66
Won,G,Oth,Ame,38,0.768,7.3,52,45
Won,G,Oth,Afr,39,0.554,5.3,47,62
Won,G,Cap,UK,48,0.399,5.7,49,45
Won,Lo,Gov,UK,36,1.361,8.8,51,85
Lost,P,Con,UK,53,0.766,9.1,68,60
Lost,P,Sec,Ind,44,2.112,4.1,64,46
Lost,C,Ban,UK,59,1.206,5.6,46,59
Lost,P,Sec,Ind,44,1.367,10.4,56,85
Lost,G,Ban,Afr,52,1.122,11.3,55,57
Won,G,Ban,UK,61,0.179,6,62,65
Won,P,Sec,Ind,44,0.25,12.1,50,63
Lost,F,Inf,UK,62,1.179,8.8,37,56
Won,L,Ban,Afr,45,0.046,5.9,68,59
Lost,G,Def,Jap,63,0.95,7.6,50,49
Lost,G,OG,Oth,72,0.719,6.8,52,55
Lost,G,Def,Jap,63,1.467,6.3,43,58
Won,G,Air,UK,56,0.12,6.7,51,61
Lost,G,Cap,UK,48,0.781,7.2,59,51
Won,P,Sec,Ind,44,0.608,3.2,50,74
Lost,G,Oth,Oth,69,0.459,2.2,50,40
Won,Li,Con,UK,46,0.964,10.8,55,63
Won,F,Cap,Oth,57,0.462,3.6,60,59
Won,G,Cap,Oth,41,1.101,8.7,57,78
Lost,G,Fin,UK,55,1.15,9.3,59,49
Won,L,Ene,UK,42,0.688,8.6,47,63
Lost,G,Def,Ame,50,2.306,2.8,44,51
Lost,Li,Cap,Oth,47,2.112,4.1,63,74
Won,Li,Cap,UK,27,1.394,8.5,38,72
Won,G,Ban,Afr,52,0.514,9.9,44,59
Lost,G,Ban,UK,61,1.462,9.2,61,60
Won,G,Def,Afr,25,1.215,4.9,64,66
Lost,G,Cap,Oth,41,1.531,7.4,74,57
Lost,L,Ban,Afr,45,1.219,7,54,47
Won,G,Cap,Oth,41,0.703,4.7,52,59
Won,G,Sec,UK,32,0.999,4.2,50,65
Lost,P,Inf,UK,37,0.328,5.5,79,45
Lost,G,Oth,Ame,38,2.603,6.9,61,67
Lost,C,Ban,UK,59,1.288,9.5,55,49
Lost,G,Ins,UK,58,1.253,5.7,35,63
Lost,G,Cap,UK,48,1.139,7.6,66,51
Won,F,Con,UK,54,0.269,6.6,53,66
Lost,G,Sec,Sin,73,1.01,7.9,44,73
Lost,G,Oth,UK,49,2.112,8.8,59,49
Won,G,Ban,Afr,52,0.595,4,44,64
Won,G,Def,Ame,50,0.88,7.7,47,62
Won,G,Cap,UK,48,0.966,7.6,49,61
Won,G,Oth,UK,49,0.445,6.4,59,46
Won,L,Ene,UK,42,0.761,10.1,62,59
Lost,G,Oth,UK,49,1.01,11.6,47,48
Lost,G,Ins,UK,58,0.523,4.4,66,66
Lost,F,Con,UK,54,1.118,5.6,53,73
Won,G,Ban,Sin,65,0.141,8.2,30,45
Won,P,Sec,Ind,44,1.425,9.1,32,37
Lost,G,Ban,Afr,52,1.296,6.9,72,50
Lost,G,Ban,Ame,43,1.116,9.9,51,47
Lost,G,Cli,UK,23,1.955,7.4,53,59
Won,G,Hea,UK,67,0.658,9.6,25,53
Won,G,Fin,UK,55,0.634,6.1,58,77
Lost,G,Air,UK,56,0.998,5.9,47,71
Lost,G,Cap,Oth,41,1.622,6.9,44,59
Lost,G,Ins,UK,58,0.207,10.7,75,56
Won,G,Fin,UK,55,0.747,10.9,47,63
Lost,G,Air,UK,56,1.597,4.3,55,56
Won,G,Cap,Oth,41,0.595,7.9,45,62
Won,C,Ban,UK,59,0.781,5.3,33,57
Lost,G,Ban,Ame,43,1.216,5.2,55,68
Won,G,Ban,UK,61,-0.561,6.7,42,52
Won,G,Fin,UK,55,0.641,5.9,54,64
Won,G,Air,UK,56,0.558,7,46,68
Won,G,Ban,Afr,52,1.01,9,44,74
Lost,P,Sec,Ind,44,2.112,11,56,55
Won,L,Cap,UK,40,0.528,5.8,43,55
Won,G,Ban,Afr,52,0.595,5.5,56,69
Lost,Li,Con,UK,46,1.353,10.2,49,73
Lost,C,Ban,UK,59,2.306,6.9,49,45
Won,P,Con,UK,53,0.654,8,42,45
Won,G,Def,Ame,50,1.03,8.2,40,71
Won,C,Ban,UK,59,0.517,10.5,53,53
Lost,Lo,Mob,UK,35,1.16,6.3,61,60
Won,P,Inf,UK,37,0.543,11.1,55,49
Lost,G,Tel,Spa,66,0.632,7.6,60,52
Lost,G,Hea,UK,67,1.561,9.2,61,72
Won,G,Def,Ame,50,1.175,11,37,49
Won,G,Sec,UK,32,1.334,9.8,50,56
Lost,G,Def,Jap,63,1.153,7.3,44,75
Lost,G,Ban,Afr,52,1.251,8.2,48,55
Lost,F,Con,UK,54,1.06,8.6,53,36
Lost,G,Def,Jap,63,0.887,6.1,60,59
Lost,L,Def,UK,51,1.012,7.3,78,65
Lost,Li,Oth,Oth,64,1.182,4.1,51,68
Lost,F,Cap,UK,60,1.52,6.6,68,56
Won,P,Ene,UK,34,0.337,6.7,54,70
Won,G,Oth,UK,49,0.499,10.8,49,60
Lost,L,Def,UK,51,1.868,8.2,53,60
Lost,L,Def,UK,51,1.357,8.8,42,42
Won,Li,Cap,Oth,47,0.595,7.4,51,55
Lost,G,Def,Jap,63,1.058,6.4,60,50
Won,P,Sec,Ind,44,0.61,5.6,39,67
Lost,G,Tel,Spa,66,1.119,6.7,37,52
Lost,P,Sec,Ind,44,1.168,8.7,48,56
Lost,C,Ban,UK,59,1.902,5.4,52,69
Won,G,Ban,Afr,52,0.277,14.2,35,53
Won,Li,Con,UK,46,0.964,7.3,47,65
Lost,G,Ban,Sin,65,1.01,7.8,50,57
Lost,G,Oth,Afr,39,0.802,7.8,68,70
Lost,P,Sec,Ind,44,0.637,8.2,66,49
Lost,L,Ban,Afr,45,1.092,7.6,67,74
Lost,G,Def,Jap,63,1.397,5,50,66
Won,G,Def,Jap,63,0.395,7.4,50,68
Lost,G,Fin,UK,55,1.084,10.6,62,100
Won,F,Con,UK,54,0.759,9.5,47,53
Lost,G,Ban,UK,61,1.125,5.5,54,65
Won,G,Cap,Oth,41,0.794,10.6,36,54
Won,G,Ban,Afr,52,0.862,8.9,45,70
Lost,G,Ban,Afr,52,1.382,9.4,38,50
Lost,P,Con,UK,53,1.15,9.8,61,50
Lost,G,Ban,UK,61,1.645,8.7,62,60
Won,Li,Cap,Oth,47,0.907,9.4,49,60
Lost,L,Def,UK,51,1.374,11.2,59,63
Won,P,Sec,Ind,44,0.258,4.9,51,57
Lost,P,Con,UK,53,1.758,8.1,42,61
Lost,F,Cap,Oth,57,0.94,8.5,66,63
Lost,G,Fin,UK,55,1.427,7.1,60,60
Won,F,Cap,Oth,57,0.419,7.7,39,58
Lost,G,Ban,Afr,52,1.332,9.9,60,73
Won,Li,Con,UK,46,0.463,9.4,28,49
Won,Li,Cap,Oth,47,0.528,11,41,46
Lost,P,Con,UK,53,0.809,8.7,76,55
Lost,L,Ene,UK,42,1.379,7.3,52,44
Won,G,Fin,UK,55,0.757,8.3,46,53
Lost,F,Con,UK,54,0.9,8,57,63
Won,L,Ban,Afr,45,0.491,6.7,41,57
Lost,Li,Con,UK,46,1.269,9,72,56
Lost,P,Sec,Ind,44,0.943,9.8,65,49
Lost,L,Def,UK,51,1.329,10.9,38,49
Won,G,Oth,UK,49,1.389,10.3,39,65
Won,G,Cap,Oth,41,0.892,10.1,55,74
Lost,Li,Oth,Oth,64,0.791,10.4,54,47
Lost,G,Fin,UK,55,1.267,3.1,47,52
Lost,G,Cap,UK,48,1.464,6.5,44,59
Lost,P,Con,UK,53,1.9,10,56,70
Lost,G,Ban,Afr,52,1.28,7.6,44,41
Won,Li,Cap,Oth,47,0.577,7.4,43,52
Won,G,Air,UK,56,1.146,7.5,41,65
Lost,P,Con,UK,53,1.565,8.4,58,56
Lost,Li,Cap,Oth,47,0.813,4,59,50
Lost,P,Sec,Ind,44,1.051,5.9,53,54
Won,P,Sec,Ind,44,0.663,8.8,68,64
Won,G,Oth,Ame,38,0.904,7.5,40,52
Won,P,Ene,UK,34,0.781,4.7,37,66
Lost,P,Sec,Ind,44,1.112,9,54,59
Won,P,Sec,UK,76,0.328,10.1,46,56
Won,G,Ban,Ame,43,0.772,10.2,50,40
Lost,G,Fin,UK,55,0.892,10.7,63,56
Lost,F,Inf,UK,62,0.502,7.1,67,46
Won,Li,Cap,Oth,47,0.623,9.3,57,48
Won,C,Ban,UK,59,0.783,9.1,45,61
Lost,Li,Cap,Oth,47,0.982,7.8,62,72
Lost,G,Cap,UK,48,1.431,7.7,51,59
Lost,L,Ban,Afr,45,1.603,8.5,51,61
Lost,G,Def,Ame,50,1.661,5.3,58,44
Won,F,Cap,Oth,57,0.629,5.3,40,75
Lost,G,Def,Ame,50,0.73,3.7,62,62
Won,L,Ene,UK,42,1.095,9.3,56,66
Won,G,Def,Jap,63,0.037,6.4,66,51
Won,P,Mob,Can,29,0.294,7.4,52,75
Lost,L,Ban,Afr,45,1.713,8,45,52
Lost,F,Cap,Oth,57,1.093,9.1,54,69
Won,F,Con,UK,54,0.815,10.4,46,60
Won,Lo,Gov,UK,36,0.937,9.3,46,70
Lost,G,Oth,Oth,69,1.697,7.3,53,54
Lost,G,Ban,Afr,52,1.643,11.1,54,53
Won,P,Sec,Ind,44,0.949,8.7,33,65
Lost,G,Ins,UK,58,1.747,8.5,43,51
Won,F,Cap,UK,60,0.814,5,37,67
Won,L,Cap,UK,40,1.109,3.6,47,55
Lost,G,Ban,Ame,43,1.248,5.2,54,56
Lost,G,Ban,UK,61,1.292,4.6,64,75
Lost,G,Ban,Ame,43,1.691,9.9,65,58
