Nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,,,,,
1,,,,,,,,,,,,,1,5,,,,2,,,,3,,,2,,,,,,,,20,,,2,,,,2,2,5,,,,,1,,18,2,,2,,,3,,5,,,,,,,3,,,,,,,,,,,1,,5,1,1,5,2,,,,,
2,2,,,1,3,,5,,,,,2,,,,,,,2,,,,,3,3,5,14,2,1,,,2,,,10,3,3,2,2,,,2,,,,2,,5,,,,,2,,,,,12,,4,1,,,,,,,1,1,,,,2,4,,,,,,,,,,,,
3,,,,1,,2,,,7,,43,,,2,,2,2,8,,,8,8,,,,,,,,,3,,,,,,,,,4,6,,,,9,,5,,,7,2,3,2,3,,1,2,,32,1,,5,5,,,,3,,,,,5,,,,3,,11,2,2,,,,,,
4,,,1,,1,,,,,1,,,,2,8,,10,2,,5,1,,,,,,,,1,,1,2,1,,,2,3,,1,4,,,,1,,,10,,,1,,,,2,,,,,,1,,,1,6,,3,2,1,1,,,,2,1,5,1,,,3,,1,,,,,
5,,3,,,,,2,,,,,20,,,,,,,1,,3,,,2,,3,2,,,,,1,,,3,,1,2,1,3,,,,,,1,,20,,,,,,,3,,,5,,1,,,,,,,,,20,,,,2,3,,,3,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,
7,,3,,,1,,,,,,,3,1,,,,,,3,,,,3,,1,3,5,1,,,,2,,,,,5,1,3,,,,,,,1,,2,,,,,4,,,,,18,,22,,,,,,,,5,2,,,,1,1,,,,,1,,,,,,,
8,1,,,,,,,,,2,,,,3,,,,,,,1,,,,,,,,,,,,10,,,,,2,,,,,1,,,,1,,5,,,,7,,,,,,,,,2,,,,,,,,,,,,2,,,,,,4,,,,,,
9,,,4,2,,5,,,-,,2,3,,,,,1,,4,,,4,,,,,,2,,,4,,,,,,,,,3,4,,,,3,,3,,,1,,3,3,2,,1,,,1,,3,6,5,1,,,4,,,,1,6,,,3,2,,3,6,6,6,,,,,
10,,,,4,,,,,,,,3,,,5,,,,,,,,,,18,10,4,20,,,,5,,,,,3,5,20,,,,,,,6,,8,,,,,3,,,,,5,,6,5,,,,,,,5,4,,,,,5,,,,,,,,,,,,
11,1,,10,,,2,,,,,,,3,2,,,2,3,,,4,9,1,,,,,,,,4,,1,,,2,,,,2,4,,,,8,,2,,,1,,3,3,4,,1,3,,4,,,4,6,2,,1,2,1,,1,3,5,,,,3,,2,1,,1,,,,,
12,,3,,,20,,6,,,,,,,,1,,,,7,,,,2,2,2,5,3,3,,,,5,,1,4,,3,3,5,,1,,,,1,3,,23,,,3,,2,,,,,3,,20,5,,,,,,,16,52,,,,7,7,,,,1,,,,,,,,
13,,,,3,,2,8,3,,,2,,,1,,,3,2,,,3,4,,,,,,,,,3,,,,,11,,,,6,2,,,1,7,,11,,3,1,,11,,2,,,,,3,,,4,2,19,1,3,4,,,,17,,,,,3,3,1,2,,3,,,,,
14,1,,,1,,1,,3,,,,,,,,,,7,,,1,,,,,,,,,,,,4,,,,,3,,,,4,1,2,,,1,,10,2,,,,,1,2,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
15,,,,15,,3,,1,,,,3,,2,,,10,,,10,,,,,,,,,,,1,2,,,,,2,,1,,,,,,,,10,,,,3,,5,1,,1,,,,5,,,,,,5,,,,,,,,2,15,,,3,,,,,,,,
16,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,,1,15,,3,,,2,,1,,2,3,,2,,,,6,4,1,,,,,,,,,20,2,2,,,2,,,,5,1,1,,1,,,25,,,,,4,,4,,,25,,1,,,15,10,2,12,2,20,,,,,5,,,15,8,,4,6,2,3,,,,,
18,1,,8,,,,,,,,2,,1,4,,,,,,,30,14,,,,,,,,8,2,4,,,,3,,,,2,,,,,4,,,,,,29,1,,6,,7,,,9,,9,1,,1,,3,,,,,,2,,,3,3,,4,,,,,,,,
19,,4,,2,4,1,6,2,1,,,8,,,2,,,2,-,,,,,,2,2,10,10,,,,3,1,,,,2,3,18,,,,,,,2,,5,2,,,,4,,,,,10,,15,6,2,,,3,2,,2,10,,,,21,4,,,,,,,,,,,,
20,,,,10,,,,,,,,,,2,10,,10,,,,,,,,,,,,,,,2,,,,,,,,,,,,25,,,10,,,,,,,14,,2,,,,1,3,,,,,25,,,,,,,,,10,,,,,,,,,,,
21,,,7,,3,,,,,,10,3,,2,,,,20,,,,6,,1,,3,,,,,2,,,,,20,,,,8,7,,,,3,,2,,,,,2,,2,3,1,,,10,1,,,,,,2,,,,,1,,,,,4,3,15,,3,,,,,,
22,8,,5,,,3,2,,4,1,25,1,3,9,,2,2,35,,2,15,,,,,1,,,,1,5,50,2,,,55,1,,1,8,80,13,,4,120,,3,,12,1,,6,,2,,3,,,10,,,10,15,6,,2,8,,2,,3,7,,1,,3,,12,2,1,2,,,,,
23,,,,,,,2,,,1,1,2,,1,4,,,,,,,,,,,,,,,1,,10,,,,,,,,,,,,2,,,,2,,,2,,2,,,3,,2,,2,2,,,,,2,,5,2,,,,,,,,,,,,,,,,,
24,,3,,,2,,,,,,,2,,,,,,,,,,,,,2,10,,,2,,,1,,,10,,2,,1,,1,,,,1,,,1,,,,,1,,,,,3,,1,,,,,,,,1,1,2,,,,8,,,,1,,,,,,,,
25,2,3,,2,,1,,,,7,,,,,,,1,,,,,,,,,,3,,,,,1,,,,3,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
26,,5,1,,3,,2,,,4,,3,1,,,,,,2,,3,,2,20,5,,10,3,,,,5,,,8,,1,5,2,3,,,2,,,3,,10,,,3,,2,,3,5,,3,1,3,1,,,,,,,10,2,2,,,5,3,,,3,,,,,,,,,
27,2,14,,1,2,,5,,,2,,2,,,,,,,10,,,,,1,3,10,,5,1,,,2,1,,3,3,1,3,5,,,2,,,,2,,10,,,,,2,,,,,9,,4,,,,,,,,1,1,,,,10,3,,,,,,,,,,,,
28,,,,,,,2,,1,20,,3,,,,,,,10,,,,,,,1,3,-,,,,1,,,,,,1,12,,,,,,,2,,3,,,,,,,,,,3,,3,3,1,,,,,,,5,,,,15,,,,,,,,,,,,,
29,,,,,1,,,,,5,,1,,,,,,,,,,1,,3,,3,2,,,2,,,,1,2,,,,1,,,,,,,6,,2,,2,,,,,,,,,,,,,,,,,,2,2,12,,,5,,,1,,,,,,,,,,
30,,,,,,,1,,,2,,1,,,,,,8,,1,,1,1,,,,,2,1,,,2,,,,,5,,,,,,,2,1,,,,,1,15,,,,,25,,2,,,20,,,,,1,,2,1,,,,1,1,,1,,,,,,,,,,
31,,,1,2,,3,,,2,,4,,3,1,,,7,3,,,5,3,,,,,,,,,,,1,,,1,,,5,2,3,1,,,14,5,3,,,,,5,,7,,,10,,3,,,5,5,3,2,5,3,,,,5,1,,,1,20,,3,1,14,1,,,,,
32,,,,,,,,1,,2,1,2,,1,1,,,4,,1,,5,10,1,,5,1,1,1,1,1,,1,,,,5,1,,,6,,,2,5,1,,2,,1,5,,2,,,4,,,,2,2,2,1,1,,1,,20,2,1,,1,1,2,,,1,,1,,1,,,,,
33,34,,,,,,,14,,,,,,5,,,1,,,,,,,,,,,,,,1,,,,4,,,,,,,19,,4,2,,,,21,,,4,5,,2,,,,,,,,,,,,,,,,,,,,1,2,,1,2,1,,,,,,
34,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,1,1,,,,1,,7,,2,,,,,,35,1,,30,,3,,,,,,,,,,,,,,,,,,,,,1,4,,,5,,,,,,,,,,,,,
35,,7,,,3,,,,,,,2,,,,,,,,,,,,5,,3,2,,,,,2,1,7,,,2,1,,,,,,,,3,,4,,,,1,,,,,,2,,,2,,,,,,,,2,,,,4,7,,,,,,,,,,,,
36,2,,2,5,,1,,1,1,,4,,10,2,1,,,5,,,20,20,,,1,,,,,,1,,1,,,,,,,5,3,2,,1,10,,1,2,2,,,20,,2,,,5,,3,,,3,3,7,,1,5,,,,5,2,,,2,2,5,2,,,,,,,,
37,,3,,3,,2,,,,,,3,,,2,,2,,,,,,,2,,,,,,5,2,5,,,,,,,2,2,1,2,,,1,,,3,,,5,,5,4,,5,,5,,5,,2,,,,,,6,3,3,,1,3,,,,,1,3,,,,,,,
38,,1,,1,1,,,1,,3,,1,,2,,,,,,,,,,,3,2,,,,,,3,,,1,1,2,,,1,,,1,1,,,,4,1,,,,,,,,,,,,,,,,,,,3,1,,,1,3,21,,,,,,,,,,,,
39,,2,,,1,,1,,,20,,4,,,2,,,,35,,,,,,,,6,10,,,1,,,,,,,,,,,,,,,2,,3,,,,,,,,,,6,,30,,,,,,1,,1,2,,,,14,1,,,,,,,,,,,,
40,3,,3,4,3,,,,2,,2,,4,1,,,2,3,,,8,2,,,,3,,,,,2,,1,,,4,,,,,3,2,,,,,,,2,,,6,,,3,,,,3,,,4,,3,,2,3,,,,,3,,,,2,8,5,,1,4,,,,,
41,1,,2,,,1,,,1,,5,1,1,2,,,1,3,,,2,14,,1,,,,,,,2,14,,,,3,1,,,3,,,,,14,,2,,,,,2,,,,,1,,2,,,4,2,1,,1,1,,,,,2,,,,2,1,1,,,,,,,,
42,5,1,,,,7,,4,1,,1,,3,8,1,,,2,,,1,5,,,1,,,,,,,,10,,,2,1,,,3,3,,,1,3,,1,1,25,5,,2,2,1,6,2,,,1,,,1,1,2,,,,,,,1,1,,,1,,2,2,1,2,1,,,,,
43,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,35,,,,16,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
44,,,1,1,,,,,,,,,,1,1,,,,,15,,1,1,,,,,,,1,,1,2,1,1,,1,,,1,,,,,,,1,,1,,1,3,,5,1,1,,,,,2,,,,1,15,,1,,,,,,,1,,,,,,,,,,,
45,,,2,,,1,,,,,10,,,,,,2,5,,,,25,,1,,,,,,,5,,,,,2,,,,2,20,,,,1,,2,,2,,,2,,1,,,,,,,,10,2,2,,,1,,,,2,,,,,5,,,,2,1,,,,,
46,,,,,2,,3,,,3,,6,,,,,,,4,,,,,3,3,3,3,3,8,,1,,,30,4,,2,4,2,,,,30,,,,,5,,,,,,,,,,2,,,,,,,,,,2,2,15,3,,3,2,1,,,,1,,,,,,,
47,,,1,25,,1,,1,,,1,,6,3,9,,25,1,,10,2,2,,,,,,,,,3,1,5,,,2,1,,,,3,,,9,8,,,,1,4,,1,1,25,,,6,1,2,,,4,3,5,,6,6,,,,1,,,,5,4,2,2,15,8,1,,,,,
48,,5,,,20,,,,,,,20,2,,,,,,8,,,,1,2,,20,20,1,3,,,8,,3,8,,3,20,5,,,,4,,,5,,,,,,,,,,,,5,,,3,,,,,,,5,20,1,,,10,8,,,,1,3,,,,,,,
49,5,,,,,7,,7,,,3,,2,12,,,2,,,,1,4,,,,,,,,,2,,10,,,1,,,,2,2,16,,3,3,,,,,7,,,2,,3,2,,,,,,2,,1,,2,,,,,,,,,,,2,,,,,,,,,
50,1,,1,1,,7,,1,,1,1,,,5,,,,,,,,1,,,,,,,1,1,,,3,,,,,,,,,10,,,,,3,,5,,,,,1,5,5,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
51,,,2,,,1,,,,,,2,,,,,,29,,,,,,,,,,,,40,,21,,,,,14,,,,,,,10,,,,,,,,,1,3,,35,,,,,45,5,,,,,,2,1,,,,,,,,,,,,,,,,,
52,,,3,,,2,,,,,2,,6,,,,,,,,2,7,,,,,,,,,5,,2,,,,,,,12,,,,4,14,,2,,,,,,,2,,,,,3,,,20,,14,,,8,,,,15,,,,,4,3,1,2,,1,,,,,
53,,,,,1,,,10,,,3,1,,1,1,,,,,,1,,,,,,,,,,,3,4,,,,2,,1,,,,,,,,,,1,,1,,,,,1,,3,,2,,2,,1,,,,1,1,1,,1,,1,1,2,,1,,1,1,,,,,
54,,,3,5,,1,,,,,5,,4,2,,,6,4,,,6,3,,,,,,,,,8,,,,,,,,,1,3,,,,6,,15,,,1,3,5,,,,,13,,4,,,,,4,,7,3,,,,4,3,,,,5,,1,8,10,,,,,,
55,3,,,,3,,,,,,,,,3,,,,1,,,3,,,,,3,,,,,,,3,,,,,,,3,,3,,,,,,,3,4,,,,,,2,,,,,,,,1,,,,,,,,,,,2,,3,2,,,,,,,,
56,,,,,,2,,,,,1,,,2,,,,5,,1,1,,1,,,2,,,,5,,2,1,,,,2,,,,,,,1,,,,1,,2,5,,1,,2,,,,,,5,1,,,,,1,3,,1,,,,,,,1,,,,,,,,,
57,,,,,,4,,,,,,,,,,,15,,,,3,,,,,,,,,,5,,,,,3,,,,,,,,,3,,2,,,,,,,2,,,,,,,,5,1,,3,,15,,,,,,,,,2,,,,15,,,,,,
58,,12,,,10,,18,5,,5,,3,,,3,,,,5,,,,2,2,,2,8,3,,1,,2,,,,,8,,5,,,,,,,2,,,,,,,5,,,,,,,20,,,,,,,,2,3,,,,3,1,,,,,2,1,,,,,,
59,,,32,,,,,,,,12,,4,6,,,,28,,,20,8,,,,,,,,,4,,,,,10,,,,14,8,,,,4,,,,,,,9,,4,,,,,,,,,6,6,,,2,,,,,10,,,,12,,16,,,,,,,,
60,,,,,,5,,,,,,20,,,5,,,,40,,,,,,,,,,,,,5,,,,,5,,50,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,10,,,,25,,,,,,,,,,,,,
61,,2,,,1,,,,6,5,,2,,,,,,9,6,2,,,3,,,2,,3,,18,,14,,,,,8,,3,,,,,2,,,,4,,,21,,4,,,14,,,,,-,7,,,,4,,3,5,,,,8,1,,1,,,,,,,,,,
62,,,6,2,,1,,1,19,,4,,3,1,,,8,4,2,,,2,,,,,,2,,,5,2,,,,3,,,,6,2,,,,22,,1,,2,,,10,4,2,,,4,,1,,3,-,4,1,1,1,8,1,,,1,4,,,1,4,1,1,1,4,4,,,,,
63,,,,,,,,,5,,5,,,,,,10,,,,2,5,,,,,,,,,2,,,,,5,,,,,,,,,10,,2,,,,,,,,,,1,,,,,3,,,2,,15,,,,,30,,,,3,,10,,3,,,,,,
64,2,,1,,,,,,,,2,,15,2,,,2,3,,,,2,,,,,,,,,1,1,1,,,15,,,,7,1,,,,3,,3,,2,,,15,1,,,,,,3,,,2,,,,,2,,1,,15,1,,,,,1,,2,,1,,,,,
65,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,1,,,,,,,,,,3,,,,3,,,,,,,,,,
66,,,,1,,,,,,,,,4,4,1,,1,2,,20,2,2,,,,,,,,,6,,,,,,1,,5,1,1,,,29,,3,,,5,,4,,1,14,,,,,,2,3,,,,,,,9,,,4,,4,,2,,,6,6,,,,,,,
67,,,,,,5,,,4,,2,,3,,,,8,,,,,2,,,,,,,,,,,,,,6,,,,6,,,,,1,,5,,,,,5,,1,,1,9,,,,,6,7,1,,,6,,,1,1,2,,,,1,,1,,8,,,,,,
68,,,,,,,1,1,,5,1,7,,,1,,,3,1,,,1,5,2,2,4,1,1,,3,,20,1,,2,,7,4,1,,2,,,1,1,,,3,,,5,,2,1,,4,,,,5,3,1,,,,4,,,4,1,,,2,4,,,,,1,,,,,,,
69,,2,,,20,,4,,,,,52,,,,,,,7,,,,,,,2,1,8,,,,3,,,4,,1,4,3,,,,,,,1,,20,,,2,,2,,,,,4,,4,2,,,,,,,4,,,,,12,3,,,,,,,2,,,,,
70,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,2,1,,7,,,,,1,,,1,,,,,,1,,,6,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,
71,,,1,,,,,,,,1,,13,1,,,2,1,,,3,2,,,,,,,,,5,,,,,,,,2,8,,,,,4,3,4,,3,,,15,,,3,,,,1,,,4,3,15,,4,1,,,,,3,,,,1,5,,3,,1,,,,,
72,,,2,1,,,,,30,,5,,,3,,,1,2,,,3,3,,,,,,,,,1,,,,,3,,,,3,2,,,,2,,,,,,,,2,,,,2,,5,,,2,20,,3,,3,,,,,,,,,4,,20,,,2,,,,,
73,,4,,4,12,8,8,,,3,,20,,,2,,,,100,,,,,2,6,10,20,30,5,3,,10,,15,,,,15,40,,,,5,,,10,,20,3,,4,,6,,,2,5,5,,25,15,3,3,,,8,,10,50,2,,,,10,,,2,3,8,,,,,,,
74,,2,,1,3,,,2,,,,1,,,,,,,2,,,,,3,1,1,1,,,,,4,,,20,,,30,,,,,1,,,1,,2,1,,,,2,,,,,,,,1,,,,,,,2,3,,,,,,,,,,,,,,,,,
75,,,,5,,,,,,,,,,2,6,,10,,,3,,,,,,,,,,,,,1,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
76,,,2,1,,1,,1,,3,3,,1,,,,2,4,,,10,2,,,,,,,2,2,30,1,1,,,1,,,,1,1,,,,8,,1,,,2,,3,2,,,,2,,2,,,2,3,1,1,,1,,,,,1,,,1,,,1,1,10,,,,,,
77,3,,,,3,,,,,,,,3,2,,,,,,,3,1,,,,3,,,,,,,,,,5,,,,8,,,,,,,,,1,,,2,1,,3,5,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,
78,3,,4,1,,2,,,1,,1,1,1,4,,,2,3,,,3,8,,,,,,,,,2,,1,,,1,1,,,3,1,1,,,,,2,,2,,,1,2,,2,,1,,2,1,,1,5,,,3,1,,,,,20,1,,,2,1,,3,1,1,,,,,
79,,,,8,,,1,,3,,3,,1,,,,4,,,,,1,,,,,,,,,2,,,,,,,1,,1,,,,,3,,8,1,,,,2,,10,,1,,,1,,,,,2,1,2,,,,,,,2,,,1,,3,,3,2,,,,,
80,4,,2,2,,2,,2,4,,1,,,1,3,,3,2,,,2,1,,,,,,,,,7,1,3,,,,2,,,2,,,1,1,5,,4,,,,,,3,7,,,15,3,,,,4,2,,2,1,8,1,,,,1,,,,10,,1,4,,1,,,,,
81,2,,1,1,,,,,5,,1,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,20,2,,,,3,,,,,,,2,,,,,,,,,,1,,1,,,,,1,,,1,,,,,,1,2,,,,,,,